
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000
"Year",2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000
"Objective function (2019$)",1177.0132038881
"Industrial CO2 GtCO2/yr",37.3362001005,38.0095770212,34.3612826041,30.8647440219,26.6638471620,23.5176487812,20.0279934286,16.5635978390,12.0987422182,6.4296519675,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,68.6599805301
"Atmospheric concentration C (ppm)",416.2031931455,429.8540743743,441.0742984951,450.3952025001,457.5861663557,463.4063097956,467.6693887147,470.4587686170,471.2600205635,469.5250881180,465.0074779981,461.4947452887,458.4995396055,455.8525873408,453.4784718087,451.3323563465,487.3652452947
"Atmospheric concentrations GtC",886.5128014000,915.5891784172,939.4882557945,959.3417813253,974.6585343376,987.0554398645,996.1357979622,1002.0771771543,1003.7838438003,1000.0884376914,990.4659281359,982.9838074649,976.6040193598,970.9660110360,965.9091449524,961.3379190181,1038.0879724778
"Atmospheric temperaturer (deg c above preind) ",1.2471500000,1.4245893585,1.5457089754,1.6379759301,1.7097940451,1.7670065875,1.8120134060,1.8460476317,1.8678666219,1.8746034061,1.8638505685,1.8492719705,1.8371054647,1.8283156217,1.8227043865,1.8198745655,1.9657326031
"Total forcings w/m2",2.7918384643,3.0131127275,3.1931750251,3.3324915722,3.4328448832,3.5054709908,3.5529571828,3.5773448841,3.5739261354,3.5352259795,3.4568111978,3.3844201707,3.3249616185,3.2754986803,3.2343405580,3.2002690448,3.6323582680
"Forcings, exogenous w/m2",-0.0540000000,-0.0340625000,-0.0141250000,0.0058125000,0.0257500000,0.0456875000,0.0656250000,0.0855625000,0.1055000000,0.1254375000,0.1453750000,0.1653125000,0.1852500000,0.2051875000,0.2251250000,0.2450625000,0.2650000000
"CO2 forcings w/m2",2.3278384643,2.5108151275,2.6569117603,2.7754789311,2.8652872018,2.9369478071,2.9888682634,3.0225848702,3.0322330425,3.0113213246,2.9565043863,2.9135113809,2.8765932130,2.8437662332,2.8141603585,2.7872640181,3.2227597525
"Actual other abatable GHG forcings w/m2",0.5180000000,0.5363601000,0.5503882649,0.5512001410,0.5418076814,0.5228356837,0.4984639194,0.4691975139,0.4361930928,0.3984671549,0.3549318116,0.3055962898,0.2631184055,0.2265449471,0.1950551995,0.1679425267,0.1445985155
"Carbon price (2019 $ per t CO2)",5.7603328701,16.6104290127,64.1215647970,116.6904736217,175.8825109200,218.6367300338,259.6973598214,308.0878503131,365.0948363215,432.5171295934,504.8023167530,502.2846046946,499.7794497775,497.2867893726,494.8065611634,492.3387031440,14.8940430552
"Emissions control rate",0.0500000000,0.1000000000,0.2400000000,0.3600000000,0.4800000000,0.5673822320,0.6518725460,0.7276110058,0.8115931615,0.9050947853,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.1126743503
"Social cost of carbon $/tCO2",106.6307136683,125.4478984332,151.9931741725,183.2419876659,219.9875996737,263.2870674703,314.3023838989,374.2146080621,444.5091058052,527.2380716900,625.8137747010,609.4638774086,603.9310264927,598.6794809489,593.6854296410,588.7718132323,17.7695200959
"Output, net net trill 2019$",134.1579375310,155.1061716412,177.8952385987,202.4824530414,228.8218235960,257.4281779996,288.3858680037,321.7794479090,357.5705005097,395.6197117003,435.8609183417,482.4312056495,532.5166068245,584.3894040076,633.6857124464,667.2968851910,643.9278097378
"Short Interest rate, %/yr",0.0000000000,0.0444552709,0.0437895434,0.0429564164,0.0421168428,0.0414244437,0.0407645573,0.0400554392,0.0393799887,0.0388657086,0.0387774491,0.0394371477,0.0401468259,0.0417125495,0.0457235664,0.0568154921,0.0163812926
"Population",7752.9000000000,8137.3673508502,8481.1706083346,8786.6181848006,9056.4844687876,9293.7833464428,9501.5984247488,9682.9613941428,9840.7694557889,9977.7332798719,10096.3480265077,10198.8812100628,10287.3724202983,10363.6410248158,10429.2989229587,10485.7661941345,10534.2880955930
"TFP",5.8400000000,6.2526766595,6.6909818123,7.1562633642,7.6499251325,8.1734283574,8.7282932152,9.3161003335,9.9384923038,10.5971751914,11.2939200404,12.0305643707,12.8090136659,13.6312428495,14.4992977474,15.4152965339,16.3814311601
"Output, gross-gross, 2019$",134.8914364654,156.2429689083,179.7524971118,205.4566952619,233.4397221454,263.7605423522,296.7411909760,332.6134787728,371.6160788891,413.8524094623,459.1419157730,506.8165088406,558.0591572925,611.0689306474,661.3024848038,695.1365258165,652.7328062755
"Change TFP, %/year",0.0660000000,0.0655068516,0.0650173880,0.0645315817,0.0640494052,0.0635708316,0.0630958338,0.0626243852,0.0621564592,0.0616920296,0.0612310701,0.0607735549,0.0603194582,0.0598687545,0.0594214185,0.0589774249,0.0585367488
